ROOT_MEM_NAME	TYPE	NUM_FRAMES	PARTS	BOX_SIZE	STATIC	MASS	HEIGHT	SCRIPT_NAME	SKIP_IMPORT	BITDEPTH	paletteRef	DITHER	IMPORT_SIZE	imageCompression	imageQuality	MATTE_OUT_EDGES	DUMMY_COLOR	
symbol	symbol	num	symbolList	list	num	num	num	string	num	num	symbol	num	list	symbol	num	num	color	
arbo_boges_bkg	BKGRND	6	[#heightmap, #heightmapend, #heightmapstart, #visual, #visualend, #visualstart]	[745, 440]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[745, 440]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_boges_boge_shadow	arbo_boges	1	[]	[20, 22]	1	5	1	ActionZoneElement	0	8	systemWin	0	[20, 22]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_bogegenerator	arbo_boges	2	[#off, #on]	[57, 51]	1	5	1	ActionZoneElement	0	16	systemWin	1	[57, 51]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_boges	arbo_boges	4	[]	[28, 28]	1	5	1	ActionZoneElement	0	16	systemWin	0	[28, 28]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_bogexplosion	arbo_boges	4	[]	[25, 25]	1	5	1	ActionZoneElement	0	16	systemWin	0	[25, 25]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_boss	arbo_boges	5	[]	[50, 50]	1	5	1	ActionZoneElement	0	16	systemWin	0	[50, 50]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_explosionboss	arbo_boges	6	[]	[50, 50]	1	5	1	ActionZoneElement	0	16	systemWin	0	[50, 50]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_hut	arbo_boges	1	[]	[79, 79]	1	5	1	ActionZoneElement	0	32	systemWin	0	[79, 79]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_hut_shadow	arbo_boges	1	[]	[79, 79]	1	5	1	ActionZoneElement	0	16	systemWin	1	[79, 79]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_rock_1	arbo_boges	1	[]	[55, 55]	1	5	1	ActionZoneElement	0	16	systemWin	1	[55, 55]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_rock_2	arbo_boges	1	[]	[57, 44]	1	5	1	ActionZoneElement	0	16	systemWin	1	[57, 44]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_rock_3	arbo_boges	1	[]	[46, 78]	1	5	1	ActionZoneElement	0	16	systemWin	1	[46, 78]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_shadowboss	arbo_boges	6	[]	[50, 50]	1	5	1	ActionZoneElement	0	8	systemWin	0	[50, 50]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_boges_tree_1	arbo_boges	1	[]	[69, 65]	1	5	1	ActionZoneElement	0	16	systemWin	1	[69, 65]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_caverns_bkg	BKGRND	4	[#heightmap, #mask, #maskmask, #visual]	[1540, 440]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[1540, 440]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_caverns_prison	arbo_caverns	1	[]	[80, 80]	1	5	1	ActionZoneElement	0	16	systemWin	1	[80, 80]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_caverns_prison_door	arbo_caverns	1	[]	[4, 41]	1	5	1	ActionZoneElement	0	16	systemWin	1	[4, 41]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_drakmeer_arena	BKGRND	2	[#heightmap, #visual]	[770, 440]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[770, 440]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_drakmeer_bkg	BKGRND	2	[#heightmap, #visual]	[1540, 880]	1	5	1	ActionZoneBackground	0	16	systemWin	1	[1540, 880]	jpeg	81	0	rgb( 255, 0, 0 )	
arbo_drakmeer_chutelights	arbo_drakmeer	2	[#off, #on]	[10, 16]	1	5	1	ActionZoneElement	0	16	systemWin	1	[10, 16]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_drakmeer_fan	arbo_drakmeer	4	[]	[24, 24]	1	5	1	ActionZoneElement	0	16	systemWin	1	[24, 24]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_drakmeer_junk_lg_1	arbo_drakmeer	1	[]	[79, 81]	1	5	1	ActionZoneElement	0	16	systemWin	1	[79, 81]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_drakmeer_junk_med_1	arbo_drakmeer	1	[]	[53, 49]	1	5	1	ActionZoneElement	0	16	systemWin	1	[53, 49]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_drakmeer_junk_sm_1	arbo_drakmeer	1	[]	[30, 31]	1	5	1	ActionZoneElement	0	16	systemWin	1	[30, 31]	movieSetting	80	0	rgb( 255, 0, 0 )	
arbo_drakmeer_junkbeast	arbo_drakmeer	1	[]	[77, 60]	1	5	1	ActionZoneElement	0	16	systemWin	1	[77, 60]	movieSetting	80	0	rgb( 255, 0, 0 )	
