ROOT_MEM_NAME	TYPE	NUM_FRAMES	PARTS	BOX_SIZE	STATIC	HEIGHT	SCRIPT_NAME	SKIP_IMPORT	
symbol	symbol	num	symbolList	list	num	num	string	num	
common_gui_alert_alert_header	common	1	[]	283, 28	1	1	ActionZoneElement	0	
common_gui_alert_blend	common	1	[]	283, 109	1	1	ActionZoneElement	0	
common_gui_alert_quitsave	common	3	[#down, #OVER, #UP]	118, 26	1	1	ActionZoneElement	0	
common_gui_alert_save	common	4	[#down, #OVER, #UP, #ader]	283, 28	1	1	ActionZoneElement	0	
common_gui_alert_stroke	common	1	[]	283, 109	1	1	ActionZoneElement	0	
common_gui_blend	common	1	[]	181, 293	1	1	ActionZoneElement	0	
common_gui_but_accept	common	3	[#down, #OVER, #UP]	168, 26	1	1	ActionZoneElement	0	
common_gui_but_arms	common	3	[#down, #OVER, #UP]	55, 23	1	1	ActionZoneElement	0	
common_gui_but_checkitout	common	3	[#down, #OVER, #UP]	129, 26	1	1	ActionZoneElement	0	
common_gui_but_close	common	3	[#down, #OVER, #UP]	79, 26	1	1	ActionZoneElement	0	
common_gui_but_glinch	common	3	[#down, #OVER, #UP]	114, 34	1	1	ActionZoneElement	0	
common_gui_but_legs	common	3	[#down, #OVER, #UP]	55, 22	1	1	ActionZoneElement	0	
common_gui_but_messagePending	common	3	[#down, #OVER, #UP]	18, 18	1	1	ActionZoneElement	0	
common_gui_but_nevermind	common	3	[#down, #OVER, #UP]	107, 22	1	1	ActionZoneElement	0	
common_gui_but_nothanks	common	3	[#down, #OVER, #UP]	118, 26	1	1	ActionZoneElement	0	
common_gui_but_okay	common	3	[#down, #OVER, #UP]	123, 26	1	1	ActionZoneElement	0	
common_gui_but_walkaway	common	3	[#down, #OVER, #UP]	118, 26	1	1	ActionZoneElement	0	
common_gui_challenge_blend_small	common	1	[]	179, 194	1	1	ActionZoneElement	0	
common_gui_challenge_but_accept	common	3	[#down, #OVER, #UP]	168, 26	1	1	ActionZoneElement	0	
common_gui_challenge_meter	common	1	[]	111, 14	1	1	ActionZoneElement	0	
common_gui_challenge_npc_stats	common	1	[]	129, 160	1	1	ActionZoneElement	0	
common_gui_challenge_processing_bkg	common	1	[]	743, 76	1	1	ActionZoneElement	0	
common_gui_challenge_progress_bkg	common	1	[]	429, 34	1	1	ActionZoneElement	0	
common_gui_challenge_screengrab_glinch	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_challenge_screengrab_pre	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_challenge_screengrab_processing	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_challenge_title_complete_arms	common	1	[]	382, 18	1	1	ActionZoneElement	0	
common_gui_challenge_title_complete_legs	common	1	[]	382, 18	1	1	ActionZoneElement	0	
common_gui_challenge_title_no_glinch	common	1	[]	382, 18	1	1	ActionZoneElement	0	
common_gui_challenge_title_you_lost	common	1	[]	382, 18	1	1	ActionZoneElement	0	
common_gui_challenge_title_you_won	common	1	[]	382, 18	1	1	ActionZoneElement	0	
common_gui_challenge_won_bkg	common	1	[]	412, 59	1	1	ActionZoneElement	0	
common_gui_char_charCombo	common	1	[]	180, 280	1	1	ActionZoneElement	0	
common_gui_charAttributes_blend	common	1	[]	181, 293	1	1	ActionZoneElement	0	
common_gui_charAttributes_header	common	1	[]	183, 28	1	1	ActionZoneElement	0	
common_gui_charAttributes_key	common	1	[]	172, 11	1	1	ActionZoneElement	0	
common_gui_charAttributes_parts_display	common	1	[]	70, 18	1	1	ActionZoneElement	0	
common_gui_charAttributes_screengrab	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_charAttributes_stat_display	common	1	[]	70, 14	1	1	ActionZoneElement	0	
common_gui_charAttributes_stats	common	1	[]	67, 215	1	1	ActionZoneElement	0	
common_gui_charAttributes_stroke	common	1	[]	183, 294	1	1	ActionZoneElement	0	
common_gui_charAttributes_tab_history	common	3	[#down, #OVER, #UP]	134, 26	1	1	ActionZoneElement	0	
common_gui_charAttributes_tab_inventory	common	3	[#down, #OVER, #UP]	96, 26	1	1	ActionZoneElement	0	
common_gui_charAttributes_tab_stats	common	3	[#down, #OVER, #UP]	110, 25	1	1	ActionZoneElement	0	
common_gui_charAttributes_viewer_frame	common	1	[]	373, 394	1	1	ActionZoneElement	0	
common_gui_charCreator_arms_but_icon1	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_arms_but_icon2	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_arms_but_icon3	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_arms_but_icon4	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_arms_but_icon5	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_but_save	common	3	[#down, #OVER, #UP]	198, 26	1	1	ActionZoneElement	0	
common_gui_charCreator_help_bevel	common	1	[]	315, 288	1	1	ActionZoneElement	0	
common_gui_charCreator_legs_but_icon1	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_legs_but_icon2	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_legs_but_icon3	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_legs_but_icon4	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_legs_but_icon5	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_parts_bevel	common	1	[]	315, 217	1	1	ActionZoneElement	0	
common_gui_charCreator_screengrab	common	1	[]	850, 600	1	1	ActionZoneElement	0	
common_gui_charCreator_species_but_icon1	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_species_but_icon2	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_species_but_icon3	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_species_but_icon4	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_species_but_icon5	common	1	[]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_tab_arms	common	3	[#down, #OVER, #UP]	92, 30	1	1	ActionZoneElement	0	
common_gui_charCreator_tab_help	common	3	[#down, #OVER, #UP]	52, 30	1	1	ActionZoneElement	0	
common_gui_charCreator_tab_legs	common	3	[#down, #OVER, #UP]	87, 30	1	1	ActionZoneElement	0	
common_gui_charCreator_tab_species	common	3	[#down, #OVER, #UP]	101, 30	1	1	ActionZoneElement	0	
common_gui_charCreator_thumbnail_button	common	3	[#down, #OVER, #UP]	59, 59	1	1	ActionZoneElement	0	
common_gui_charCreator_window_bkgd	common	1	[]	744, 414	1	1	ActionZoneElement	0	
common_gui_charHistory_expand_bkgd	common	1	[]	281, 211	1	1	ActionZoneElement	0	
common_gui_charHistory_item_expand__down	common	1	[]	281, 211	1	1	ActionZoneElement	0	
common_gui_charHistory_item_expand__over	common	1	[]	281, 211	1	1	ActionZoneElement	0	
common_gui_charHistory_item_expand__up	common	1	[]	281, 211	1	1	ActionZoneElement	0	
common_gui_charHistory_resultsBkg	common	1	[]	53, 20	1	1	ActionZoneElement	0	
common_gui_charHistory_screengrab	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_charHistory_screengrab_xpand	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_charInventory_bkgd__top_bottom	common	1	[]	281, 32	1	1	ActionZoneElement	0	
common_gui_charInventory_blend	common	1	[]	338, 311	1	1	ActionZoneElement	0	
common_gui_charInventory_expand_bkg	common	1	[]	281, 211	1	1	ActionZoneElement	0	
common_gui_charInventory_item_bkgd	common	4	[#DEACTIVE, #down, #OVER, #UP]	281, 28	1	1	ActionZoneElement	0	
common_gui_charInventory_item_expand	common	3	[#down, #OVER, #UP]	350, 217	1	1	ActionZoneElement	0	
common_gui_charInventory_item_goggles	common	1	[]	21, 19	1	1	ActionZoneElement	0	
common_gui_charInventory_item_grapple	common	1	[]	21, 19	1	1	ActionZoneElement	0	
common_gui_charInventory_item_lasercutter	common	1	[]	21, 19	1	1	ActionZoneElement	0	
common_gui_charInventory_item_map	common	1	[]	21, 19	1	1	ActionZoneElement	0	
common_gui_charInventory_item_quorium	common	1	[]	21, 19	1	1	ActionZoneElement	0	
common_gui_charInventory_screengrab	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_charInventory_screengrab_expanded	common	1	[]	770, 440	1	1	ActionZoneElement	0	
common_gui_charInventory_stroke	common	1	[]	338, 311	1	1	ActionZoneElement	0	
common_gui_charShadow	common	1	[]	150, 41	1	1	ActionZoneElement	0	
common_gui_cursor	common	4	[#closed, #maskclosed, #maskopen, #open]	18, 18	1	1	ActionZoneElement	0	
common_gui_header	common	1	[]	183, 28	1	1	ActionZoneElement	0	
common_gui_help_item_expand	common	3	[#down, #OVER, #UP]	281, 211	1	1	ActionZoneElement	0	
common_gui_interface	common	4	[#bottom, #left, #right, #top]	770, 357	1	1	ActionZoneElement	0	
common_gui_level_meter_bkgd	common	1	[]	6, 19	1	1	ActionZoneElement	0	
common_gui_level_meter_overlay	common	1	[]	4, 1	1	1	ActionZoneElement	0	
common_gui_meters	common	3	[#playername, #stats]	192, 28	1	1	ActionZoneElement	0	
common_gui_panel_btns_bkg	common	1	[]	376, 22	1	1	ActionZoneElement	0	
common_gui_panel_btns_but_help	common	4	[#DEACTIVE, #down, #OVER, #UP]	106, 21	1	1	ActionZoneElement	0	
common_gui_panel_btns_but_player	common	4	[#DEACTIVE, #down, #OVER, #UP]	132, 21	1	1	ActionZoneElement	0	
common_gui_panel_btns_but_questmap	common	4	[#DEACTIVE, #down, #OVER, #UP]	153, 21	1	1	ActionZoneElement	0	
common_gui_questLog_screengrab_tasks	common	1	[]	800, 470	1	1	ActionZoneElement	0	
common_gui_questMap_arbo_bkg	common	1	[]	739, 410	1	1	ActionZoneElement	0	
common_gui_questMap_frame	common	1	[]	743, 414	1	1	ActionZoneElement	0	
common_gui_questMap_icons_arena	common	2	[#off, #on]	13, 15	1	1	ActionZoneElement	0	
common_gui_questMap_icons_note	common	2	[#off, #on]	13, 15	1	1	ActionZoneElement	0	
common_gui_questMap_icons_player	common	1	[#on]	13, 15	1	1	ActionZoneElement	0	
common_gui_questMap_icons_quest	common	2	[#off, #on]	13, 15	1	1	ActionZoneElement	0	
common_gui_questMap_icons_rewards	common	2	[#off, #on]	13, 15	1	1	ActionZoneElement	0	
common_gui_questMap_icons_task	common	2	[#off, #on]	13, 15	1	1	ActionZoneElement	0	
common_gui_questMap_item_expand	common	3	[#down, #OVER, #UP]	281, 132	1	1	ActionZoneElement	0	
common_gui_questMap_key_blend	common	1	[]	234, 43	1	1	ActionZoneElement	0	
common_gui_questMap_key_header	common	1	[]	225, 44	1	1	ActionZoneElement	0	
common_gui_questMap_key_labels	common	1	[]	204, 23	1	1	ActionZoneElement	0	
common_gui_questMap_key_stroke	common	1	[]	235, 44	1	1	ActionZoneElement	0	
