ROOT_MEM_NAME	TYPE	PRIORITY	CHANNELS	DURATION	VOLUME	LOOP	MULTIPLE	SKIP_IMPORT
symbol	symbol	num	list	num	num	num	num	num
arbo_boges_sounds_boges_die	arbo_boges	5	"[3, 4, 5, 6]"	971	255	0	0	0
arbo_boges_sounds_boges_screech	arbo_boges	3	"[5, 4, 3]"	6676	255	1	0	0
arbo_boges_sounds_boges_screech_attack	arbo_boges	5	"[3, 4, 5, 6]"	978	255	0	0	0
arbo_drakmeer_sounds_bkg_drakmeer	arbo_drakmeer	1	[1]	30166	255	1	0	0
arbo_drakmeer_sounds_chutes_on	arbo_drakmeer	5	"[3, 4, 5, 6]"	872	255	0	0	0
arbo_drakmeer_sounds_dogbark	arbo_drakmeer	5	"[3, 4, 5, 6]"	326	255	0	0	0
arbo_jungle_sounds_bkg_jungle	arbo_jungle	1	[1]	34101	255	1	0	0
arbo_miningcamp_sounds_end_race	arbo_miningcamp	5	"[1, 2, 3, 4, 5, 6]"	760	255	0	0	0
arbo_miningcamp_sounds_qoro_bubbling	arbo_miningcamp	5	"[1, 2, 3, 4, 5, 6]"	9913	255	1	0	0
arbo_miningcamp_sounds_qoro_refill	arbo_miningcamp	5	"[1, 2, 3, 4, 5, 6]"	664	255	0	0	0
arbo_miningcamp_sounds_start_race	arbo_miningcamp	5	"[1, 2, 3, 4, 5, 6]"	615	255	0	0	0
arbo_quest_assignment_sounds_bkg_quest_assignment	arbo_quest_assignment	1	[1]	22836	255	1	0	0
arbo_quest_assignment_sounds_portal_entrysucceed	arbo_quest_assignment	5	"[3, 4, 5, 6]"	1392	255	0	0	0
arbo_quest_assignment_sounds_portal_whileon	arbo_quest_assignment	3	[6]	6116	255	1	0	0
arbo_slavecamp_sounds_bkg_slavecamp	arbo_slavecamp	1	[1]	17704	255	1	0	0
arbo_slavecamp_sounds_taskmaster_fires	arbo_slavecamp	4	"[3, 4, 5, 6]"	100	255	0	0	0
arbo_slavecamp_sounds_taskmaster_hit	arbo_slavecamp	4	"[3, 4, 5, 6]"	264	255	0	0	0
arbo_slavecamp_sounds_taskmaster_theme	arbo_slavecamp	2	[4]	6501	255	1	0	0
arbo_village_sounds_bkg_maze	arbo_village	1	[1]	10687	255	1	0	0
common_sounds_bkg_arena	common	1	[1]	18269	255	1	0	0
common_sounds_bkg_cave	common	1	[1]	15029	255	1	0	0
common_sounds_cave_ricochet	common	5	"[3, 4, 5, 6]"	869	255	0	0	0
common_sounds_chase_loop	common	3	[3]	7259	255	1	0	0
common_sounds_containment	common	5	"[1, 2, 3, 4, 5, 6]"	297	255	0	0	0
common_sounds_drag_loop	common	2	[2]	289	255	1	0	0
common_sounds_drag_loop2	common	5	"[1, 2, 3, 4, 5, 6]"	289	255	0	0	0
common_sounds_energywall_tone	common	5	"[3, 4, 5, 6]"	159	255	0	1	0
