CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,galidorgame.dir,1,script,frameloop,,
1,Internal,galidorgame.dir,2,script,,,
1,Internal,galidorgame.dir,3,script,startstop,,
1,Internal,galidorgame.dir,4,script,LoaderPlayer,,
1,Internal,galidorgame.dir,5,script,InfoKiosk,,
1,Internal,galidorgame.dir,6,script,InfoDisplay,,
1,Internal,galidorgame.dir,7,script,LoadBar,,
1,Internal,galidorgame.dir,8,field,loadingName,,
1,Internal,galidorgame.dir,11,script,GlobalInterfaces,,
1,Internal,galidorgame.dir,12,script,ResourceLoader,,
1,Internal,galidorgame.dir,13,script,GKRemoteResource,,
1,Internal,galidorgame.dir,14,script,GKNetRequest,,
1,Internal,galidorgame.dir,15,script,AlertEater,,
1,Internal,galidorgame.dir,16,bitmap,common_gui_interface_bottom,,
1,Internal,galidorgame.dir,17,bitmap,common_gui_interface_left,,
1,Internal,galidorgame.dir,18,bitmap,common_gui_interface_right,,
1,Internal,galidorgame.dir,19,bitmap,common_gui_interface_top,,
1,Internal,galidorgame.dir,21,field,debuggerfield,,
1,Internal,galidorgame.dir,22,script,dbdebug,,
1,Internal,galidorgame.dir,23,text,displayInfo,,
1,Internal,galidorgame.dir,24,bitmap,loadbar,,
1,Internal,galidorgame.dir,25,flash,loader_loader_character,,
1,Internal,galidorgame.dir,26,script,nextButton,,
1,Internal,galidorgame.dir,27,script,hidable,,
1,Internal,galidorgame.dir,34,bitmap,continue_up,,
1,Internal,galidorgame.dir,35,bitmap,continue_down,,
1,Internal,galidorgame.dir,36,bitmap,continue_over,,
1,Internal,galidorgame.dir,37,bitmap,loader_bottom,,
1,Internal,galidorgame.dir,38,bitmap,loader_top,,
1,Internal,galidorgame.dir,39,bitmap,choose_difficulty,,
1,Internal,galidorgame.dir,40,flash,loaderkiosk,,
1,Internal,galidorgame.dir,45,field,defaultinfo,,
1,Internal,galidorgame.dir,46,field,arboinfo,,
1,Internal,galidorgame.dir,47,field,glinchinfo,,
1,Internal,galidorgame.dir,48,field,nickInfo,,
1,Internal,galidorgame.dir,49,field,mapinfo,,
1,Internal,galidorgame.dir,50,field,gorminfo,,
1,Internal,galidorgame.dir,51,bitmap,arbo,,
1,Internal,galidorgame.dir,52,bitmap,nick,,
1,Internal,galidorgame.dir,53,bitmap,glinch,,
1,Internal,galidorgame.dir,54,bitmap,map,,
1,Internal,galidorgame.dir,55,bitmap,gorm,,
1,Internal,galidorgame.dir,57,bitmap,zones1_up,,
1,Internal,galidorgame.dir,58,bitmap,zones1_over,,
1,Internal,galidorgame.dir,59,bitmap,zones1_down,,
1,Internal,galidorgame.dir,61,bitmap,zones2_up,,
1,Internal,galidorgame.dir,62,bitmap,zones2_over,,
1,Internal,galidorgame.dir,63,bitmap,zones2_down,,
1,Internal,galidorgame.dir,65,bitmap,zones3_up,,
1,Internal,galidorgame.dir,66,bitmap,zones3_over,,
1,Internal,galidorgame.dir,67,bitmap,zones3_down,,
1,Internal,galidorgame.dir,73,script,,,
1,Internal,galidorgame.dir,74,script,PlayerCharacterTweakPanel,,
1,Internal,galidorgame.dir,75,bitmap,tweakPanel,,
1,Internal,galidorgame.dir,76,button,tweak_done,,
1,Internal,galidorgame.dir,77,script,TweakInputField,,
1,Internal,galidorgame.dir,78,shape,gui_meter_shape,,
1,Internal,galidorgame.dir,79,shape,gui_progressAnim_shape,,
1,Internal,galidorgame.dir,80,shape,containerOutline,,
