[#scriptName: "ActionZoneOrbBackground", #where: [0, 0, -1000], #rid: #demo_elta_bkg, #params: [#ink: 0, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #zoneType: #SNOW_AREA, #creationTime: 2000, #freezeTime: 2000, #normalFreezeTime: 500, #chargedFreezeTime: 2000, #basePolyPoints: []]]
[#scriptName: "ActionZoneElementWithTasks", #where: [300, 120, -1], #rid: #common2_fan, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #charge_orb_booster, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #heading: #NORTH, #height: 5, #Hide: 0, #basePolyPoints: []]]
[#scriptName: "ActionZoneElementWithTasks", #where: [-200, 100, -1], #rid: #common2_fan, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #get_boge_disintegrator, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #tracking: 1, #invid: #boge_disintegrator, #instanceID: 1, #amount: 1, #basePolyPoints: []]]
[#scriptName: "ActionZoneInventoryItem", #where: [-60, 140, -1], #rid: #common2_qorium_pile, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #tracking: 1, #invid: #qorium, #instanceID: 1, #amount: 100, #basePolyPoints: []]]
[#scriptName: "ActionZoneTypedArea", #where: [740, 40, -1], #rid: #poly_trigger, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #elementType: #NO_SNOW_AREA, #basePolyPoints: [point(-4.0000, -36.0000), point(55.0000, -11.0000), point(24.0000, 37.0000), point(-25.0000, 36.0000), point(-44.0000, 11.0000), point(-45.0000, -23.0000)]]]
[#scriptName: "ActionZoneTypedArea", #where: [280, 0, -1], #rid: #poly_trigger, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #elementType: #NO_SNOW_AREA, #basePolyPoints: [point(-221.0000, -56.0000), point(-55.0000, -63.0000), point(118.0000, -20.0000), point(294.0000, -32.0000), point(380.0000, -13.0000), point(299.0000, -5.0000), point(236.0000, 33.0000), point(163.0000, 41.0000), point(14.0000, 61.0000), point(-125.0000, 19.0000), point(-167.0000, -25.0000)]]]
[#scriptName: "ActionZoneTypedArea", #where: [-40, 0, -1], #rid: #poly_trigger, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #elementType: #NO_SNOW_AREA, #basePolyPoints: [point(-55.0000, -63.0000), point(53.0000, -40.0000), point(71.0000, 29.0000), point(40.0000, 70.0000), point(-49.0000, 72.0000), point(-107.0000, 12.0000)]]]
[#scriptName: "ActionZoneSilentSubgameTrigger", #where: [1060, 0, -1], #rid: #poly_trigger, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #none, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #hideonplay: 0, #subgameScript: "ESBogesSubGame", #basePolyPoints: [point(-45.0000, -158.0000), point(50.0000, -174.0000), point(68.0000, 113.0000), point(-38.0000, 138.0000)]]]
[#scriptName: "ActionZoneEntrance", #where: [1140, 0, -1], #rid: #poly_trigger, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #fromZone: #none, #isDefault: 1, #basePolyPoints: []]]
[#scriptName: "ActionZoneEsBogeFlock", #where: [-100, -120, -1], #rid: #common_item_grapple, #params: [#RIDs: [#flocker: #common3_boges, #flocker_shadow: #common3_boge_shadow, #flocker_destoy: #common3_bogexplosion, #SCREECH_SND: #common3_sounds_boges_screech, #ATTACK_SND: #common3_sounds_boges_screech_attack, #DESTROY_SND: #common3_sounds_boges_die], #ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #none, #moreTaskCardArt: #none, #NUM_WAVES: 4, #WAVE_SIZE: 4, #speed: 1, #TURNING: 3, #REPULSE: 3, #color: #red, #attackRadius: 200, #safeRadius: 450, #speedVar: 100, #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [680, 120, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npc_vinic2, #AItype: "DO_NOTHING_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [680, 80, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npc_amphibib2, #AItype: "DO_NOTHING_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [680, 40, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npc_siktari2, #AItype: "DO_NOTHING_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [540, -20, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npc_poonani, #AItype: "DO_NOTHING_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [520, -80, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npcDefault, #AItype: "PATROL_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #pathdata: "[#patrol1: [[520, -100, -1], [580, -40, -1], [480, -20, -1], [380, -80, -1], [440, -100, -1]]]", #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [600, -60, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npc_gropert, #AItype: "DO_NOTHING_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [760, 100, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npc_urwhal2, #AItype: "DO_NOTHING_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [760, 140, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npc_wex2, #AItype: "DO_NOTHING_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [700, -80, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npc_tyreena, #AItype: "DO_NOTHING_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #basePolyPoints: []]]
[#scriptName: "ActionZoneNPCCharacter", #where: [780, -80, -1], #rid: #common_zone_character, #params: [#ink: 36, #ZPOS: 0, #handicap: 0, #taskCardView: #character, #moreTaskCardArt: #none, #hideTwoIfImpossible: 0, #taskdelay: 1, #taskType1: #taskTestID, #taskType2: #none, #moreTaskCardArt2: #none, #taskType3: #none, #moreTaskCardArt3: #none, #npcType: #npc_eltaan1, #AItype: "DO_NOTHING_AI", #aidefaultspeed: 50, #aiparamdefaults: "[:]", #ALLOW_TASK_ON: #ANYTIME, #pickUp: 0, #startHeading: #NORTH, #startAnimation: "stand", #basePolyPoints: []]]
