ROOT_MEM_NAME	TYPE	CATAGORY	VOLUME	LOOP	URGENT	SKIP_IMPORT	
symbol	symbol	symbol	num	num	num	num	
arbo_boges_sounds_boges_die	arbo_boges	ENVBG	255	1	1	0	
arbo_boges_sounds_boges_screech	arbo_boges	ENVBG	255	1	1	0	
arbo_boges_sounds_boges_screech_attack	arbo_boges	ENVBG	255	1	1	0	
arbo_drakmeer_sounds_bkg_drakmeer	arbo_drakmeer	ENVBG	255	1	1	0	
arbo_drakmeer_sounds_chutes_on	arbo_drakmeer	ENVBG	255	1	1	0	
arbo_drakmeer_sounds_dogbark	arbo_drakmeer	ENVBG	255	1	1	0	
arbo_jungle_sounds_bkg_jungle	arbo_jungle	ENVBG	255	1	1	0	
arbo_miningcamp_sounds_end_race	arbo_miningcamp	ENVBG	255	1	1	0	
arbo_miningcamp_sounds_qoro_bubbling	arbo_miningcamp	ENVBG	255	1	1	0	
arbo_miningcamp_sounds_qoro_refill	arbo_miningcamp	ENVBG	255	1	1	0	
arbo_miningcamp_sounds_start_race	arbo_miningcamp	ENVBG	255	1	1	0	
arbo_quest_assignment_sounds_bkg_quest_assignment	arbo_quest_assignment	ENVBG	255	1	1	0	
arbo_quest_assignment_sounds_portal_entryfail	arbo_quest_assignment	ENVBG	255	1	1	0	
arbo_quest_assignment_sounds_portal_entrysucceed	arbo_quest_assignment	ENVBG	255	1	1	0	
arbo_quest_assignment_sounds_portal_whileon	arbo_quest_assignment	ENVBG	255	1	1	0	
arbo_slavecamp_sounds_taskmaster_fires	arbo_slavecamp	ENVBG	255	1	1	0	
arbo_slavecamp_sounds_taskmaster_hit	arbo_slavecamp	ENVBG	255	1	1	0	
arbo_village_sounds_bkg_maze	arbo_village	ENVBG	255	1	1	0	
arbo_village_sounds_maze_creatures	arbo_village	ENVBG	255	1	1	0	
common_sounds_bkg_cave	common	ENVBG	255	1	1	0	
common_sounds_cave_ricochet	common	ENVBG	255	1	1	0	
common_sounds_chase_loop	common	ENVBG	255	1	1	0	
common_sounds_drag_loop	common	ENVBG	255	1	1	0	
common_sounds_energywall_tone	common	ENVBG	255	1	1	0	
common_sounds_energywall_turnoff	common	ENVBG	255	1	1	0	
common_sounds_energywall_whileon	common	ENVBG	255	1	1	0	
common_sounds_fan_1	common	ENVBG	255	1	1	0	
common_sounds_help_bkg	common	ENVBG	255	1	1	0	
common_sounds_item_pickup	common	ENVBG	255	1	1	0	
common_sounds_item_pickup_inventory	common	ENVBG	255	1	1	0	
common_sounds_item_pickup_noninventory	common	ENVBG	255	1	1	0	
common_sounds_player_collision	common	ENVBG	255	1	1	0	
common_sounds_player_dies	common	ENVBG	255	1	1	0	
common_sounds_player_falltodeath	common	ENVBG	255	1	1	0	
common_sounds_player_ftstps_ext_fast	common	ENVBG	255	1	1	0	
common_sounds_player_ftstps_ext_slow	common	ENVBG	255	1	1	0	
common_sounds_player_ftstps_int_fast	common	ENVBG	255	1	1	0	
common_sounds_player_ftstps_int_slow	common	ENVBG	255	1	1	0	
common_sounds_player_goalcompleted	common	ENVBG	255	1	1	0	
common_sounds_player_grunt_collision1	common	ENVBG	255	1	1	0	
common_sounds_player_grunt_collision2	common	ENVBG	255	1	1	0	
common_sounds_player_grunt_effort	common	ENVBG	255	1	1	0	
common_sounds_player_grunt_struck	common	ENVBG	255	1	1	0	
common_sounds_player_hit	common	ENVBG	255	1	1	0	
common_sounds_player_landing	common	ENVBG	255	1	1	0	
common_sounds_powerup_temp	common	ENVBG	255	1	1	0	
common_sounds_savespot	common	ENVBG	255	1	1	0	
common_sounds_steamvent	common	ENVBG	255	1	1	0	
common_sounds_ui_button1_down	common	ENVBG	255	1	1	0	
common_sounds_ui_button1_over	common	ENVBG	255	1	1	0	
common_sounds_ui_button1_up	common	ENVBG	255	1	1	0	
common_sounds_ui_scrolling	common	ENVBG	255	1	1	0	
common_sounds_ui_selection_made	common	ENVBG	255	1	1	0	
common_sounds_ui_tabpanel_transition	common	ENVBG	255	1	1	0	
common_sounds_ui_window_down	common	ENVBG	255	1	1	0	
common_sounds_ui_window_up	common	ENVBG	255	1	1	0	
common_sounds_zone_entrance	common	ENVBG	255	1	1	0	
common_sounds_zone_transition	common	ENVBG	255	1	1	0	
