ROOT_MEM_NAME	TYPE	NUM_FRAMES	PARTS	BOX_SIZE	STATIC	SKIP_IMPORT	BITDEPTH	paletteRef	DITHER	IMPORT_SIZE	imageCompression	imageQuality	MATTE_OUT_EDGES	DUMMY_COLOR	
symbol	symbol	num	symbolList	list	num	num	num	symbol	num	list	symbol	num	num	color	
common_gui_alert_panel	common	1	[]	[370, 236]	1	0	16	systemWin	1	[370, 236]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_alert_quitsave	common	3	[#down, #OVER, #UP]	[118, 26]	1	0	16	systemWin	0	[118, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_alert_register	common	3	[#down, #OVER, #UP]	[79, 26]	1	0	16	systemWin	1	[79, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_alert_save	common	3	[#down, #OVER, #UP]	[118, 26]	1	0	16	systemWin	0	[118, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_blend	common	1	[]	[181, 293]	1	0	16	systemWin	0	[181, 293]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_accept	common	3	[#down, #OVER, #UP]	[168, 26]	1	0	16	systemWin	0	[168, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_arms	common	3	[#down, #OVER, #UP]	[55, 22]	1	0	16	systemWin	0	[55, 22]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_back	common	3	[#down, #OVER, #UP]	[68, 19]	1	0	16	systemWin	1	[68, 19]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_cancel	common	3	[#down, #OVER, #UP]	[79, 26]	1	0	16	systemWin	1	[79, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_checkitout	common	3	[#down, #OVER, #UP]	[129, 26]	1	0	16	systemWin	0	[129, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_close	common	3	[#down, #OVER, #UP]	[79, 26]	1	0	16	systemWin	0	[79, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_glinch	common	3	[#down, #OVER, #UP]	[112, 29]	1	0	16	systemWin	1	[112, 29]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_legs	common	3	[#down, #OVER, #UP]	[55, 22]	1	0	16	systemWin	0	[55, 22]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_messagePending	common	3	[#down, #OVER, #UP]	[18, 18]	1	0	16	systemWin	0	[18, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_nevermind	common	3	[#down, #OVER, #UP]	[107, 22]	1	0	16	systemWin	0	[107, 22]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_nothanks	common	3	[#down, #OVER, #UP]	[118, 26]	1	0	16	systemWin	0	[118, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_okay	common	3	[#down, #OVER, #UP]	[123, 26]	1	0	16	systemWin	0	[123, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_tojungle	common	3	[#down, #OVER, #UP]	[172, 22]	1	0	16	systemWin	1	[172, 22]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_but_walkaway	common	3	[#down, #OVER, #UP]	[118, 26]	1	0	16	systemWin	0	[118, 26]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_blend_small	common	1	[]	[179, 194]	1	0	8	systemWin	0	[179, 194]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_info	common	3	[#down, #OVER, #UP]	[18, 18]	1	0	16	systemWin	0	[18, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_meter	common	1	[]	[111, 14]	1	0	16	systemWin	0	[111, 14]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_npc_stats	common	1	[]	[129, 160]	1	0	16	systemWin	0	[129, 160]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_processing_bkg	common	1	[]	[743, 76]	1	0	16	systemWin	0	[743, 76]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_progress_bkg	common	1	[]	[429, 34]	1	0	16	systemWin	0	[429, 34]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_title_complete_arms	common	1	[]	[382, 18]	1	0	16	systemWin	0	[382, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_title_complete_legs	common	1	[]	[382, 18]	1	0	16	systemWin	0	[382, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_title_no_glinch	common	1	[]	[382, 18]	1	0	16	systemWin	0	[382, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
common_gui_challenge_title_you_lost	common	1	[]	[382, 18]	1	0	16	systemWin	0	[382, 18]	movieSetting	80	0	rgb( 255, 0, 0 )	
