speciesID	Name	Strength	Endurance	Speed	Agility	Intelligence	Charm	speciesDescr	armsDescr	legsDescr	speciesShortDescr	armsShortDescr	legsShortDescr
symbol	string	atrb	atrb	atrb	atrb	atrb	atrb	string	string	string	string	string	string
None		0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0		Choose some arms to go with your species.|	Choose some legs to go with your species.|		none chosen	none chosen
Siktari_two	Siktari	35-10-10	40-5-5	30-5-10	35-5-5	30-0-0	15-5-5	"Siktari Warriors come from the frozen realm of Elta-Siktar. They are tall, strong and brave.||The most famous Siktari of all is Nepol.  He is a close friend of Nicholas Bluetooth, and the sworn enemy of evil Gorm.|"	Siktari arms are very powerful… Great for throwing and for fighting off enemies!|	Siktari legs are very powerful… great for running and jumping!|	Siktari species	Siktari arms	Siktari legs
Vinic_two	Vinic	30-5-10	35-10-10	30-10-10	15-15-0	30-5-0	15-5-5	"Vinics come from the realm of Dreejal Vin. They are part creature and part machine.||Because Dreejal Vin is a great center of knowledge, Vinics are generally very smart.|"	Vinic mechanical arms have a lot of power and endurance - really cool for lifting heavy objects!|	Vinic mechanical legs have power and lots of endurance… nice to have when you're on long journeys!|	Vinic species	Vinic arms	Vinic legs
Wexer_two	Wexer	35-2-2	30-10-10	35-5-5	40-10-5	45-5-5	20-10-10	"Wexers come from the realm of Wex. Famous throughout the Outer Dimension, their scientific skills are second to none. Most famous of all is Jens, from the Royal Court of Galidor. He invented Qorium and is a close friend of Nicholas Bluetooth's.||Thanks to their plant-like bodies, Wexers can heal themselves quickly.||They are among the smartest beings in the Outer Dimension!|"	"Wexer arms, though not as powerful as a Siktari's, have agile fingers and are known to increase the brain power of those who wear them. |"	"Wexer legs, though not as powerful as an Amphibib's, are known to increase the brain power of those who wear them. |"	Wexer species	Wexer arms	Wexer legs
Urwhal_two	Urwhal	30-10-10	40-0-0	30-5-5	40-10-10	30-5-5	20-5-5	"Although they are very strange looking, Urwhals are among the friendliest creatures in the Outer Dimensions. Originally from the sea realm of Ur, they built themselves powerful suits of armor to live in. The armor gives them great strength and protection.|"	Urwhal arms are capable of lifting many times their own weight… nice to have when you're in a jam!|	Urwhal legs have great power and endurance… very handy for Arbonian power challenges!|	Urwhal Species	Urwhal Arms	Urwhal Legs
Amphibib_two	Amphibib	15-10-10	30-10-10	40-5-5	25-5-10	40-10-0	15-5-5	"Amphibibs are wise, frog-like creatures from the realm of Arbo. They have special telekinetic powers, which means they can move things using only their minds!||Sadly, when Gorm destroyed the swampy lowlands of Arbo, nearly all the Amphibibs vanished.||The most famous Amphibib in the Outer Dimension is Euripides.|"	Amphibib arms are strong and agile. They also give those who wear them a boost of Amphibib brain power.|	"Amphibib legs strong and agile, allowing their owners to jump long distances… very handy on a realm like Arbo!|"	Amphibib species	Amphibib arms	Amphibib legs
estyreena	Tyreena	20-20-20	20-20-20	20-20-20	20-20-20	10-0-0	5-0-0						
esgropert	Gropert	20-20-20	20-20-20	20-20-20	20-20-20	10-0-0	5-0-0						
eseltaan	eltaan	20-20-20	20-20-20	20-20-20	20-20-20	10-0-0	5-0-0						
espoonani	Poonani	20-20-20	20-20-20	20-20-20	20-20-20	10-0-0	5-0-0						
eshunter_three	green eye	15-10-15	25-5-5	25-15-25	15-0-15	25-20-20	0-0-0	Bounty Hunters are interested in only one thing: capturing you and collecting their Qorium - avoid them at all costs! Green Eye here is smooth but ruthless: he'd capture his best friend if Gorm paid him to do it!|	"Green Eye has a very creepy set of Finger Blades - with long, sharp Shoulder Blades to match!  You could put them to good use - if you manage to survive Glinching with him, that is!|"	"Green Eye has long, thin legs - they may not look very strong, but he's silent and FAST!|"	Green Eye Hunter Species	Green Eye Hunter Arms	Green Eye Hunter Legs
